  ⥌2.19⥌BÄCKERKRÖNUNG Apfelstrudel⥌;je 2 x 300 g (1 kg = 3.65)⥌penny
  ⥌3.49⥌BÄCKERKRÖNUNG Schwarzwälderkirschschnitten⥌;je 450 g (1 kg = 7.76)⥌penny
  ⥌3.49⥌BÄCKERKRÖNUNG Donauwelle⥌;je 500 g (1 kg = 6.98)⥌penny
  ⥌3.99⥌BÄCKER­KRÖNUNG Kuchen⥌;je 520 g (1 kg = 7.67)⥌penny
  ⥌1.29⥌BÄCKERKRÖNUNG Brunch Mix Brötchen⥌;je 540 g (1 kg = 2.39)⥌penny
  ⥌0.79⥌BÄCKERKRÖNUNG Toast⥌;je 500 g (1 kg = 1.58)⥌penny
  ⥌1.99⥌BÄCKERKRÖNUNG Schoko Brötchen⥌;je 360 g (1 kg = 5.53)⥌penny
  ⥌1.99⥌BÄCKERKRÖNUNG Mini Chinois⥌;je 300 g (1 kg = 6.63)⥌penny
26⥌0.70⥌BÄCKERKRÖNUNG Das knusprig-frische Weizenbrötchen⥌;je 5 Stück⥌penny
25⥌1.11⥌BÄCKER­KRÖNUNG Frischei Waffeln⥌;mit App: je 250 g (1 kg = 4.44); ohne App: je 250 g 1.49 (1 kg = 5.96)⥌penny
14⥌4.29⥌BÄCKER­KRÖNUNG Backkuchen⥌;mit App: je 1.250 g (1 kg = 3.43); ohne App: je 1.250 g 4.99 (1 kg = 3.99)⥌penny
  ⥌1.69⥌SOLVEL Reines Sonnenblumenöl⥌;je 1 I⥌penny
  ⥌2.19⥌SOLVEL Reines Sonnenblumenöl⥌;je 750 ml (1 l = 2.92)⥌penny
  ⥌4.49⥌SOLVEL Frittieröl⥌;je 2 I (1 l = 2.25)⥌penny
  ⥌1.49⥌SOLVEL Reines Rapsöl⥌;je 1 I⥌penny
  ⥌1.59⥌SOLVEL Sonnenblumenmargarine⥌;je 500 g (1 kg = 3.18)⥌penny
  ⥌1.19⥌SOLVEL Halbfettmargarine⥌;je 500 g (1 kg = 2.38)⥌penny
  ⥌1.39⥌SOLVEL Pflanzenmargarine⥌;je 500 g (1 kg = 2.78)⥌penny
